timestamp,link_id,src_port,dst_port,tx_rate_bytes,utilization_pct
2026-09-08T05:18:45.690216,0000000000000003-0000000000000005,2,2,0.0,0.0
2026-09-08T05:18:45.710466,0000000000000004-0000000000000006,2,2,0.0,0.0
2026-09-08T05:18:45.725631,0000000000000001-0000000000000005,3,2,0.0,0.0
2026-09-08T05:18:45.740588,0000000000000005-0000000000000001,2,3,0.0,0.0
2026-09-08T05:18:45.760476,0000000000000001-0000000000000004,2,1,0.0,0.0
2026-09-08T05:18:45.779237,0000000000000002-0000000000000004,3,1,0.0,0.0
2026-09-08T05:18:45.795931,0000000000000003-0000000000000001,1,3,0.0,0.0
2026-09-08T05:18:45.811162,0000000000000006-0000000000000001,2,2,0.0,0.0
2026-09-08T05:18:45.828185,0000000000000004-0000000000000001,1,2,0.0,0.0
2026-09-08T05:18:45.844825,0000000000000002-0000000000000005,2,2,0.0,0.0
2026-09-08T05:18:48.146705,0000000000000003-0000000000000005,2,2,7813.48,0.06
2026-09-08T05:18:48.165881,0000000000000004-0000000000000006,2,2,7740.23,0.06
2026-09-08T05:18:48.184428,0000000000000002-0000000000000006,3,2,7666.98,0.06
2026-09-08T05:18:48.203854,0000000000000001-0000000000000004,2,1,6055.45,0.05
2026-09-08T05:18:48.223059,0000000000000003-0000000000000002,1,2,3979.99,0.06
2026-09-08T05:18:48.241280,0000000000000005-0000000000000001,2,3,1855.7,0.06
2026-09-08T05:18:48.259331,0000000000000006-0000000000000001,2,2,1855.7,0.06
2026-09-08T05:18:48.276045,0000000000000004-0000000000000001,1,2,3882.32,0.06
2026-09-08T05:18:48.295175,0000000000000002-0000000000000005,2,2,5811.28,0.05
2026-09-08T05:18:48.312461,0000000000000001-0000000000000005,3,2,7789.06,0.06
2026-09-08T05:18:50.917466,0000000000000003-0000000000000005,2,2,7168.0,0.06
2026-09-08T05:18:50.936076,0000000000000004-0000000000000006,2,2,7276.27,0.06
2026-09-08T05:18:50.953323,0000000000000002-0000000000000004,3,1,7103.03,0.06
2026-09-08T05:18:50.968824,0000000000000005-0000000000000004,2,1,1840.72,0.06
2026-09-08T05:18:50.984892,0000000000000003-0000000000000004,1,1,3768.07,0.06
2026-09-08T05:18:51.004418,0000000000000001-0000000000000004,2,1,5435.55,0.04
2026-09-08T05:18:51.021572,0000000000000006-0000000000000005,2,2,1819.07,0.06
2026-09-08T05:18:51.037223,0000000000000004-0000000000000005,1,2,3746.41,0.06
2026-09-08T05:18:51.055477,0000000000000002-0000000000000005,2,2,5478.86,0.04
2026-09-08T05:18:51.070696,0000000000000001-0000000000000005,3,2,6929.78,0.06
2026-09-08T05:18:53.509835,0000000000000003-0000000000000005,2,2,8031.35,0.06
2026-09-08T05:18:53.532759,0000000000000004-0000000000000006,2,2,7915.62,0.06
2026-09-08T05:18:53.549732,0000000000000001-0000000000000003,3,1,8031.35,0.06
2026-09-08T05:18:53.567560,0000000000000002-0000000000000006,3,2,7961.91,0.06
2026-09-08T05:18:53.582791,0000000000000003-0000000000000006,1,2,4096.68,0.06
2026-09-08T05:18:53.598417,0000000000000001-0000000000000006,2,2,6087.16,0.05
2026-09-08T05:18:53.616192,0000000000000006-0000000000000003,2,1,2059.91,0.06
2026-09-08T05:18:53.634960,0000000000000004-0000000000000003,1,1,4119.83,0.06
2026-09-08T05:18:53.654857,0000000000000002-0000000000000003,2,1,6133.45,0.05
2026-09-08T05:18:53.671021,0000000000000005-0000000000000003,2,2,2036.77,0.06
2026-09-08T05:18:56.267703,0000000000000003-0000000000000005,2,2,7179.85,0.06
2026-09-08T05:18:56.289338,0000000000000004-0000000000000006,2,2,7201.61,0.06
2026-09-08T05:18:56.315706,0000000000000002-0000000000000005,2,2,5374.01,0.04
2026-09-08T05:18:56.333702,0000000000000004-0000000000000002,1,3,3502.9,0.06
2026-09-08T05:18:56.351061,0000000000000003-0000000000000006,1,2,3807.5,0.06
2026-09-08T05:18:56.369996,0000000000000002-0000000000000006,3,2,7005.8,0.06
2026-09-08T05:18:56.386937,0000000000000006-0000000000000002,2,3,1740.57,0.06
2026-09-08T05:18:56.405579,0000000000000001-0000000000000006,2,2,5504.55,0.04
2026-09-08T05:18:56.421090,0000000000000001-0000000000000003,3,1,7005.8,0.06
2026-09-08T05:18:56.442100,0000000000000005-0000000000000003,2,2,1849.36,0.06
2026-09-08T05:18:58.880056,0000000000000003-0000000000000005,2,2,7492.37,0.06
2026-09-08T05:18:58.899147,0000000000000004-0000000000000006,2,2,259570.75,2.08
2026-09-08T05:18:58.919969,0000000000000002-0000000000000004,3,1,158926.34,1.27
2026-09-08T05:18:58.937499,0000000000000001-0000000000000002,2,2,106835.73,0.85
2026-09-08T05:18:58.954072,0000000000000003-0000000000000001,1,3,3858.34,0.06
2026-09-08T05:18:58.974322,0000000000000005-0000000000000001,2,3,2269.83,0.25
2026-09-08T05:18:58.992785,0000000000000006-0000000000000001,2,2,3034.61,2.48
2026-09-08T05:18:59.009281,0000000000000004-0000000000000005,1,2,4931.63,2.08
2026-09-08T05:18:59.027268,0000000000000002-0000000000000005,2,2,6608.93,1.26
2026-09-08T05:18:59.042715,0000000000000001-0000000000000005,3,2,7515.34,0.06
2026-09-08T05:19:01.702882,0000000000000003-0000000000000005,2,2,9432151.16,75.46
2026-09-08T05:19:01.724737,0000000000000004-0000000000000006,2,2,2472968.62,19.78
2026-09-08T05:19:01.750772,0000000000000002-0000000000000004,3,1,2379904.4,19.04
2026-09-08T05:19:01.770698,0000000000000005-0000000000000004,2,1,16993.15,79.37
2026-09-08T05:19:01.790740,0000000000000003-0000000000000004,1,1,18619.65,75.46
2026-09-08T05:19:01.810803,0000000000000001-0000000000000004,2,1,2345286.9,69.9
2026-09-08T05:19:01.829562,0000000000000006-0000000000000005,2,2,6681.65,20.16
2026-09-08T05:19:01.849790,0000000000000004-0000000000000005,1,2,8632.59,19.78
2026-09-08T05:19:01.873713,0000000000000002-0000000000000005,2,2,9093608.54,72.75
2026-09-08T05:19:01.893201,0000000000000001-0000000000000005,3,2,8734541.38,69.88
2026-09-08T05:19:04.486619,0000000000000003-0000000000000005,2,2,8464809.65,67.72
2026-09-08T05:19:04.508442,0000000000000004-0000000000000006,2,2,2507362.6,20.06
2026-09-08T05:19:04.530685,0000000000000001-0000000000000003,3,1,9172191.33,73.38
2026-09-08T05:19:04.548517,0000000000000004-0000000000000003,1,1,7772.74,20.06
2026-09-08T05:19:04.571452,0000000000000002-0000000000000003,2,1,8813101.31,70.5
2026-09-08T05:19:04.589990,0000000000000005-0000000000000003,2,2,14246.43,63.57
2026-09-08T05:19:04.608454,0000000000000001-0000000000000006,2,2,2614133.21,73.39
2026-09-08T05:19:04.627429,0000000000000002-0000000000000004,3,1,2601680.16,20.81
2026-09-08T05:19:04.647848,0000000000000003-0000000000000004,1,1,17098.16,67.72
2026-09-08T05:19:04.665649,0000000000000006-0000000000000004,2,2,5660.35,20.06
2026-09-08T05:19:07.157275,0000000000000003-0000000000000005,2,2,575983.35,4.61
2026-09-08T05:19:07.177843,0000000000000004-0000000000000006,2,2,2563826.08,20.51
2026-09-08T05:19:07.197301,0000000000000002-0000000000000006,3,2,2563803.6,20.51
2026-09-08T05:19:07.215999,0000000000000001-0000000000000002,2,2,2562163.17,20.5
2026-09-08T05:19:07.236668,0000000000000003-0000000000000002,1,2,5420.92,4.61
2026-09-08T05:19:07.258091,0000000000000001-0000000000000003,3,1,7056.11,0.06
2026-09-08T05:19:07.276853,0000000000000006-0000000000000003,2,1,5512.31,20.12
2026-09-08T05:19:07.296775,0000000000000004-0000000000000003,1,1,7316.79,20.51
2026-09-08T05:19:07.317869,0000000000000002-0000000000000003,2,1,366616.03,20.51
2026-09-08T05:19:07.338633,0000000000000005-0000000000000003,2,2,4232.17,7.65
2026-09-08T05:19:09.971568,0000000000000003-0000000000000005,2,2,11104860.74,88.84
2026-09-08T05:19:09.996146,0000000000000004-0000000000000006,2,2,2479572.11,19.84
2026-09-08T05:19:10.017475,0000000000000001-0000000000000003,3,1,10921325.32,87.37
2026-09-08T05:19:10.037647,0000000000000002-0000000000000006,3,2,2432805.73,19.46
2026-09-08T05:19:10.057904,0000000000000002-0000000000000005,2,2,11004292.58,88.03
2026-09-08T05:19:10.081061,0000000000000004-0000000000000002,1,3,7520.71,19.84
2026-09-08T05:19:10.098749,0000000000000006-0000000000000002,2,3,5715.14,20.21
2026-09-08T05:19:10.117516,0000000000000001-0000000000000002,2,2,2448736.78,87.39
2026-09-08T05:19:10.141062,0000000000000005-0000000000000002,2,2,18816.69,89.69
2026-09-08T05:19:10.161552,0000000000000003-0000000000000002,1,2,20588.15,88.84
2026-09-08T05:19:12.685581,0000000000000003-0000000000000005,2,2,8738793.32,69.91
2026-09-08T05:19:12.706597,0000000000000004-0000000000000006,2,2,2523060.72,20.18
2026-09-08T05:19:12.728269,0000000000000001-0000000000000005,3,2,9488580.54,75.91
2026-09-08T05:19:12.746608,0000000000000006-0000000000000004,2,2,5736.77,20.18
2026-09-08T05:19:12.766420,0000000000000005-0000000000000003,2,2,14754.23,66.04
2026-09-08T05:19:12.787029,0000000000000001-0000000000000006,2,2,2584163.08,75.92
2026-09-08T05:19:12.806054,0000000000000002-0000000000000006,3,2,2571360.9,20.57
2026-09-08T05:19:12.823540,0000000000000003-0000000000000001,1,3,17583.93,69.91
2026-09-08T05:19:12.843907,0000000000000002-0000000000000001,2,2,9055291.58,72.44
2026-09-08T05:19:12.861354,0000000000000004-0000000000000001,1,2,7949.69,20.18
2026-09-08T05:19:15.432552,0000000000000003-0000000000000005,2,2,1421206.0,11.37
2026-09-08T05:19:15.452384,0000000000000004-0000000000000006,2,2,2498030.36,19.98
2026-09-08T05:19:15.471615,0000000000000001-0000000000000005,3,2,678856.79,5.43
2026-09-08T05:19:15.489455,0000000000000002-0000000000000006,3,2,2473802.68,19.79
2026-09-08T05:19:15.511561,0000000000000005-0000000000000001,2,3,5574.22,15.59
2026-09-08T05:19:15.531248,0000000000000002-0000000000000001,2,2,1064101.22,19.8
2026-09-08T05:19:15.551037,0000000000000004-0000000000000002,1,3,7543.7,19.98
2026-09-08T05:19:15.570009,0000000000000006-0000000000000002,2,3,5619.46,19.99
2026-09-08T05:19:15.591609,0000000000000001-0000000000000002,2,2,2498103.34,19.98
2026-09-08T05:19:15.611856,0000000000000003-0000000000000002,1,2,6878.93,11.37
2026-09-08T05:19:18.180098,0000000000000003-0000000000000005,2,2,11992368.56,95.94
2026-09-08T05:19:18.200446,0000000000000004-0000000000000006,2,2,2534607.44,20.28
2026-09-08T05:19:18.224842,0000000000000006-0000000000000004,2,2,5679.43,19.9
